global_episode_index,lerobot_task_index,libero_suite,libero_task_id,demo_index,demo_key,num_frames,language,hdf5_path,split_csv,repo_id,fps
0,0,libero_spatial,0,0,demo_0,658,pick up the akita black bowl and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task0_5_success_pilot_v1/task_000_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
1,0,libero_spatial,0,1,demo_1,658,pick up the akita black bowl and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task0_5_success_pilot_v1/task_000_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
2,0,libero_spatial,0,2,demo_2,658,pick up the akita black bowl and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task0_5_success_pilot_v1/task_000_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
3,0,libero_spatial,0,3,demo_3,658,pick up the akita black bowl and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task0_5_success_pilot_v1/task_000_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
4,0,libero_spatial,0,4,demo_4,658,pick up the akita black bowl and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task0_5_success_pilot_v1/task_000_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
5,1,libero_spatial,1,0,demo_0,560,pick up the akita black bowl and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task1_5_success_pilot_v1/task_001_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
6,1,libero_spatial,1,1,demo_1,560,pick up the akita black bowl and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task1_5_success_pilot_v1/task_001_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
7,1,libero_spatial,1,2,demo_2,560,pick up the akita black bowl and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task1_5_success_pilot_v1/task_001_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
8,1,libero_spatial,1,3,demo_3,560,pick up the akita black bowl and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task1_5_success_pilot_v1/task_001_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
9,1,libero_spatial,1,4,demo_4,560,pick up the akita black bowl and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task1_5_success_pilot_v1/task_001_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
10,2,libero_spatial,2,0,demo_0,598,pick up the akita black bowl and place it on the plate in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task2_5_success_pilot_v1/task_002_layout_1_5_success.hdf5,data/training/libero36_feasible_v1/splits/all_32_tasks_5episodes_v1.csv,local/libero36_feasible_32_frozen_v1,20
