protocol_version,benchmark_name,task_id,tuple,object,object_instance,skill,spatial_region,language,problem_name,scene_type,target_type,target_instance,receiver_region,goal_expression,goal_predicates_json,draft_success_definition,layout_count,bddl_glob,push_no_bilateral_grasp,provisional_push_max_lift_m,push_constraint_status,all_four_objects_present,proxy_benchmark,factor_interpretation,source_slot_ranges_json,target_region_ranges_json,target_region_rgba_json,observation_camera_spec_json
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,0,akita_black_bowl*put_on_top*left,akita_black_bowl,akita_black_bowl_1,put_on_top,left,Pick up the akita black bowl and place it on the plate in the left region,LIBERO_Tabletop_Manipulation,tabletop,plate,plate_1,main_table_target_left_region,(And (On akita_black_bowl_1 plate_1)),"[[""on"",""akita_black_bowl_1"",""plate_1""]]","On(akita_black_bowl_1,plate_1) AND terminal_center_xy(plate_1) in main_table_target_left_region",4,data/libero_36/bddl/task_000_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,1,akita_black_bowl*put_on_top*middle,akita_black_bowl,akita_black_bowl_1,put_on_top,middle,Pick up the akita black bowl and place it on the plate in the middle region,LIBERO_Tabletop_Manipulation,tabletop,plate,plate_1,main_table_target_middle_region,(And (On akita_black_bowl_1 plate_1)),"[[""on"",""akita_black_bowl_1"",""plate_1""]]","On(akita_black_bowl_1,plate_1) AND terminal_center_xy(plate_1) in main_table_target_middle_region",4,data/libero_36/bddl/task_001_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,2,akita_black_bowl*put_on_top*right,akita_black_bowl,akita_black_bowl_1,put_on_top,right,Pick up the akita black bowl and place it on the plate in the right region,LIBERO_Tabletop_Manipulation,tabletop,plate,plate_1,main_table_target_right_region,(And (On akita_black_bowl_1 plate_1)),"[[""on"",""akita_black_bowl_1"",""plate_1""]]","On(akita_black_bowl_1,plate_1) AND terminal_center_xy(plate_1) in main_table_target_right_region",4,data/libero_36/bddl/task_002_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,3,akita_black_bowl*put_inside*left,akita_black_bowl,akita_black_bowl_1,put_inside,left,Pick up the akita black bowl and place it inside the basket in the left region,LIBERO_Tabletop_Manipulation,tabletop,basket,basket_1,main_table_target_left_region,(And (In akita_black_bowl_1 basket_1_contain_region)),"[[""in"",""akita_black_bowl_1"",""basket_1_contain_region""]]","In(akita_black_bowl_1,basket_1_contain_region) AND terminal_center_xy(basket_1) in main_table_target_left_region",4,data/libero_36/bddl/task_003_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,4,akita_black_bowl*put_inside*middle,akita_black_bowl,akita_black_bowl_1,put_inside,middle,Pick up the akita black bowl and place it inside the basket in the middle region,LIBERO_Tabletop_Manipulation,tabletop,basket,basket_1,main_table_target_middle_region,(And (In akita_black_bowl_1 basket_1_contain_region)),"[[""in"",""akita_black_bowl_1"",""basket_1_contain_region""]]","In(akita_black_bowl_1,basket_1_contain_region) AND terminal_center_xy(basket_1) in main_table_target_middle_region",4,data/libero_36/bddl/task_004_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,5,akita_black_bowl*put_inside*right,akita_black_bowl,akita_black_bowl_1,put_inside,right,Pick up the akita black bowl and place it inside the basket in the right region,LIBERO_Tabletop_Manipulation,tabletop,basket,basket_1,main_table_target_right_region,(And (In akita_black_bowl_1 basket_1_contain_region)),"[[""in"",""akita_black_bowl_1"",""basket_1_contain_region""]]","In(akita_black_bowl_1,basket_1_contain_region) AND terminal_center_xy(basket_1) in main_table_target_right_region",4,data/libero_36/bddl/task_005_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,6,akita_black_bowl*push_to*left,akita_black_bowl,akita_black_bowl_1,push_to,left,Push the akita black bowl into the left target region,LIBERO_Tabletop_Manipulation,tabletop,table_region,main_table_target_left_region,main_table_target_left_region,(And (On akita_black_bowl_1 main_table_target_left_region)),"[[""on"",""akita_black_bowl_1"",""main_table_target_left_region""]]","On(akita_black_bowl_1,main_table_target_left_region) AND no_bilateral_grasp_during_trajectory AND max_lift_from_stabilized_height<=0.030m (provisional threshold)",4,data/libero_36/bddl/task_006_layout_*.bddl,True,0.03,provisional_requires_pilot_calibration,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,7,akita_black_bowl*push_to*middle,akita_black_bowl,akita_black_bowl_1,push_to,middle,Push the akita black bowl into the middle target region,LIBERO_Tabletop_Manipulation,tabletop,table_region,main_table_target_middle_region,main_table_target_middle_region,(And (On akita_black_bowl_1 main_table_target_middle_region)),"[[""on"",""akita_black_bowl_1"",""main_table_target_middle_region""]]","On(akita_black_bowl_1,main_table_target_middle_region) AND no_bilateral_grasp_during_trajectory AND max_lift_from_stabilized_height<=0.030m (provisional threshold)",4,data/libero_36/bddl/task_007_layout_*.bddl,True,0.03,provisional_requires_pilot_calibration,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,8,akita_black_bowl*push_to*right,akita_black_bowl,akita_black_bowl_1,push_to,right,Push the akita black bowl into the right target region,LIBERO_Tabletop_Manipulation,tabletop,table_region,main_table_target_right_region,main_table_target_right_region,(And (On akita_black_bowl_1 main_table_target_right_region)),"[[""on"",""akita_black_bowl_1"",""main_table_target_right_region""]]","On(akita_black_bowl_1,main_table_target_right_region) AND no_bilateral_grasp_during_trajectory AND max_lift_from_stabilized_height<=0.030m (provisional threshold)",4,data/libero_36/bddl/task_008_layout_*.bddl,True,0.03,provisional_requires_pilot_calibration,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
libero_36_proxy_tabletop_draft_v5,libero_registered_object_36_proxy_tabletop,9,white_yellow_mug*put_on_top*left,white_yellow_mug,white_yellow_mug_1,put_on_top,left,Pick up the yellow and white mug and place it on the plate in the left region,LIBERO_Tabletop_Manipulation,tabletop,plate,plate_1,main_table_target_left_region,(And (On white_yellow_mug_1 plate_1)),"[[""on"",""white_yellow_mug_1"",""plate_1""]]","On(white_yellow_mug_1,plate_1) AND terminal_center_xy(plate_1) in main_table_target_left_region",4,data/libero_36/bddl/task_009_layout_*.bddl,False,,not_applicable,True,True,object_identity*goal_schema_receiver_type*destination_location,"{""0"":[0.04,-0.244,0.11,-0.182],""1"":[0.04,-0.102,0.11,-0.04],""2"":[0.04,0.04,0.11,0.102],""3"":[0.04,0.182,0.11,0.244]}","{""left"":[-0.2,-0.28,-0.04,-0.14],""middle"":[-0.2,-0.07,-0.04,0.07],""right"":[-0.2,0.14,-0.04,0.28]}","[0.1,0.45,1.0,0.25]","{""agentview_camera_name"":""agentview"",""agentview_fovy_deg"":75.0,""agentview_position_m"":[0.6586131746834771,0.0,1.6103500240372424],""agentview_quaternion_wxyz"":[0.6380177736282349,0.3048497438430786,0.30484986305236816,0.6380177736282349],""apply_after_every_reset"":true,""camera_height"":128,""camera_protocol_version"":""libero_36_agentview_v1"",""camera_width"":128,""observation_refresh_after_apply"":true,""raw_reset_agentview_fovy_deg"":45.0}"
