task_id,task_index,instruction,object,skill,region
1,1,pick up the akita black bowl and place it on the plate in the middle region,akita_black_bowl,pick_place_on_top,middle
2,2,pick up the akita black bowl and place it on the plate in the right region,akita_black_bowl,pick_place_on_top,right
3,3,pick up the akita black bowl and place it inside the basket in the left region,akita_black_bowl,pick_place_inside,left
4,4,pick up the akita black bowl and place it inside the basket in the middle region,akita_black_bowl,pick_place_inside,middle
5,5,pick up the akita black bowl and place it inside the basket in the right region,akita_black_bowl,pick_place_inside,right
6,6,push the akita black bowl into the left target region,akita_black_bowl,push,left
7,7,push the akita black bowl into the middle target region,akita_black_bowl,push,middle
8,8,push the akita black bowl into the right target region,akita_black_bowl,push,right
9,9,pick up the yellow and white mug and place it on the plate in the left region,yellow_white_mug,pick_place_on_top,left
10,10,pick up the yellow and white mug and place it on the plate in the middle region,yellow_white_mug,pick_place_on_top,middle
11,11,pick up the yellow and white mug and place it on the plate in the right region,yellow_white_mug,pick_place_on_top,right
12,12,pick up the yellow and white mug and place it inside the basket in the left region,yellow_white_mug,pick_place_inside,left
13,13,pick up the yellow and white mug and place it inside the basket in the middle region,yellow_white_mug,pick_place_inside,middle
14,14,pick up the yellow and white mug and place it inside the basket in the right region,yellow_white_mug,pick_place_inside,right
16,15,push the white and yellow mug to the middle of the table,yellow_white_mug,push,middle
18,16,pick up the alphabet soup and place it on the plate in the left region,alphabet_soup,pick_place_on_top,left
19,17,pick up the alphabet soup and place it on the plate in the middle region,alphabet_soup,pick_place_on_top,middle
20,18,pick up the alphabet soup and place it on the plate in the right region,alphabet_soup,pick_place_on_top,right
21,19,pick up the alphabet soup and place it inside the basket in the left region,alphabet_soup,pick_place_inside,left
22,20,pick up the alphabet soup and place it inside the basket in the middle region,alphabet_soup,pick_place_inside,middle
23,21,pick up the alphabet soup and place it inside the basket in the right region,alphabet_soup,pick_place_inside,right
24,22,push the alphabet soup into the left target region,alphabet_soup,push,left
25,23,push the alphabet soup into the middle target region,alphabet_soup,push,middle
26,24,push the alphabet soup into the right target region,alphabet_soup,push,right
27,25,pick up the cream cheese box and place it on the plate in the left region,cream_cheese_box,pick_place_on_top,left
28,26,pick up the cream cheese box and place it on the plate in the middle region,cream_cheese_box,pick_place_on_top,middle
29,27,pick up the cream cheese box and place it on the plate in the right region,cream_cheese_box,pick_place_on_top,right
30,28,pick up the cream cheese box and place it inside the basket in the left region,cream_cheese_box,pick_place_inside,left
31,29,pick up the cream cheese box and place it inside the basket in the middle region,cream_cheese_box,pick_place_inside,middle
32,30,pick up the cream cheese box and place it inside the basket in the right region,cream_cheese_box,pick_place_inside,right
34,31,push the cream cheese box into the middle target region,cream_cheese_box,push,middle
