task_id,language,hdf5_path,eligible_for_primary_loco,exclusion_reason
0,pick up the akita black bowl and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task0_5_success_pilot_v1/task_000_layout_1_5_success.hdf5,true,
1,pick up the akita black bowl and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task1_5_success_pilot_v1/task_001_layout_1_5_success.hdf5,true,
2,pick up the akita black bowl and place it on the plate in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task2_5_success_pilot_v1/task_002_layout_1_5_success.hdf5,true,
3,pick up the akita black bowl and place it inside the basket in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task3_5_success_pilot_v1/task_003_layout_1_5_success.hdf5,true,
4,pick up the akita black bowl and place it inside the basket in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task4_5_success_pilot_v1/task_004_layout_1_5_success.hdf5,true,
5,pick up the akita black bowl and place it inside the basket in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task5_5_success_pilot_v1/task_005_layout_1_5_success.hdf5,true,
6,push the akita black bowl into the left target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task6_5_success_pilot_v1/task_006_layout_1_5_success.hdf5,true,
7,push the akita black bowl into the middle target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task7_5_success_pilot_v1/task_007_layout_1_5_success.hdf5,true,
8,push the akita black bowl into the right target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task8_5_success_pilot_v1/task_008_layout_1_5_success.hdf5,true,
9,pick up the yellow and white mug and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task9_5_success_pilot_v1/task_009_layout_1_5_success.hdf5,true,
10,pick up the yellow and white mug and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task10_5_success_pilot_v1/task_010_layout_1_5_success.hdf5,true,
11,pick up the yellow and white mug and place it on the plate in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task11_5_success_pilot_v1/task_011_layout_1_5_success.hdf5,true,
12,pick up the yellow and white mug and place it inside the basket in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task12_5_success_pilot_v1/task_012_layout_1_5_success.hdf5,true,
13,pick up the yellow and white mug and place it inside the basket in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task13_5_success_pilot_v1/task_013_layout_1_5_success.hdf5,true,
14,pick up the yellow and white mug and place it inside the basket in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task14_5_success_pilot_v1/task_014_layout_1_5_success.hdf5,true,
16,push the white and yellow mug to the middle of the table,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task16_5_success_pilot_v1/task_016_layout_1_5_success.hdf5,true,
18,pick up the alphabet soup and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task18_5_success_pilot_v1/task_018_layout_1_5_success.hdf5,true,
19,pick up the alphabet soup and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task19_5_success_pilot_v1/task_019_layout_1_5_success.hdf5,true,
20,pick up the alphabet soup and place it on the plate in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task20_5_success_pilot_v1/task_020_layout_1_5_success.hdf5,true,
21,pick up the alphabet soup and place it inside the basket in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task21_5_success_pilot_v1/task_021_layout_1_5_success.hdf5,true,
22,pick up the alphabet soup and place it inside the basket in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task22_5_success_pilot_v1/task_022_layout_1_5_success.hdf5,true,
23,pick up the alphabet soup and place it inside the basket in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task23_5_success_pilot_v1/task_023_layout_1_5_success.hdf5,true,
24,push the alphabet soup into the left target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task24_5_success_pilot_v1/task_024_layout_1_5_success.hdf5,true,
25,push the alphabet soup into the middle target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task25_5_success_pilot_v1/task_025_layout_1_5_success.hdf5,true,
26,push the alphabet soup into the right target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task26_5_success_pilot_v1/task_026_layout_1_5_success.hdf5,true,
27,pick up the cream cheese box and place it on the plate in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task27_5_success_pilot_v1/task_027_layout_1_5_success.hdf5,true,
28,pick up the cream cheese box and place it on the plate in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task28_5_success_pilot_v1/task_028_layout_1_5_success.hdf5,true,
29,pick up the cream cheese box and place it on the plate in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task29_5_success_pilot_v1/task_029_layout_1_5_success.hdf5,true,
30,pick up the cream cheese box and place it inside the basket in the left region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task30_5_success_pilot_v1/task_030_layout_1_5_success.hdf5,true,
31,pick up the cream cheese box and place it inside the basket in the middle region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task31_5_success_pilot_v1/task_031_layout_1_5_success.hdf5,true,
32,pick up the cream cheese box and place it inside the basket in the right region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task32_5_success_pilot_v1/task_032_layout_1_5_success.hdf5,true,
34,push the cream cheese box into the middle target region,/root/smolvla-libero-compositional-generalization/data/demos/libero36_task34_5_success_pilot_v1/task_034_layout_1_5_success.hdf5,true,
