global_episode_index,lerobot_task_index,libero_suite,libero_task_id,demo_index,demo_key,num_frames,language,hdf5_path,split_csv,repo_id,fps
0,0,libero_spatial,0,0,demo_0,98,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
1,0,libero_spatial,0,1,demo_1,84,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
2,0,libero_spatial,0,2,demo_2,90,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
3,0,libero_spatial,0,3,demo_3,97,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
4,0,libero_spatial,0,4,demo_4,105,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
5,0,libero_spatial,0,5,demo_5,134,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
6,0,libero_spatial,0,6,demo_6,92,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
7,0,libero_spatial,0,7,demo_7,92,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
8,0,libero_spatial,0,8,demo_8,79,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
9,0,libero_spatial,0,9,demo_9,89,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
10,0,libero_spatial,0,10,demo_10,93,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
11,0,libero_spatial,0,11,demo_11,128,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
12,0,libero_spatial,0,12,demo_12,86,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
13,0,libero_spatial,0,13,demo_13,88,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
14,0,libero_spatial,0,14,demo_14,112,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
15,0,libero_spatial,0,15,demo_15,84,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
16,0,libero_spatial,0,16,demo_16,89,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
17,0,libero_spatial,0,17,demo_17,97,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
18,0,libero_spatial,0,18,demo_18,75,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
19,0,libero_spatial,0,19,demo_19,99,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
20,0,libero_spatial,0,20,demo_20,87,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
21,0,libero_spatial,0,21,demo_21,121,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
22,0,libero_spatial,0,22,demo_22,96,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
23,0,libero_spatial,0,23,demo_23,85,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
24,0,libero_spatial,0,24,demo_24,100,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
25,0,libero_spatial,0,25,demo_25,91,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
26,0,libero_spatial,0,26,demo_26,105,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
27,0,libero_spatial,0,27,demo_27,113,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
28,0,libero_spatial,0,28,demo_28,92,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
29,0,libero_spatial,0,29,demo_29,124,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
30,0,libero_spatial,0,30,demo_30,127,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
31,0,libero_spatial,0,31,demo_31,151,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
32,0,libero_spatial,0,32,demo_32,93,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
33,0,libero_spatial,0,33,demo_33,111,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
34,0,libero_spatial,0,34,demo_34,167,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
35,0,libero_spatial,0,35,demo_35,89,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
36,0,libero_spatial,0,36,demo_36,102,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
37,0,libero_spatial,0,37,demo_37,168,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
38,0,libero_spatial,0,38,demo_38,89,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
39,0,libero_spatial,0,39,demo_39,108,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
40,0,libero_spatial,0,40,demo_40,95,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
41,0,libero_spatial,0,41,demo_41,95,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
42,0,libero_spatial,0,42,demo_42,109,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
43,0,libero_spatial,0,43,demo_43,96,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
44,0,libero_spatial,0,44,demo_44,88,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
45,0,libero_spatial,0,45,demo_45,90,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
46,0,libero_spatial,0,46,demo_46,85,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
47,0,libero_spatial,0,47,demo_47,92,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
48,0,libero_spatial,0,48,demo_48,96,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
49,0,libero_spatial,0,49,demo_49,92,pick up the black bowl between the plate and the ramekin and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
50,1,libero_spatial,2,0,demo_0,103,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
51,1,libero_spatial,2,1,demo_1,123,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
52,1,libero_spatial,2,2,demo_2,122,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
53,1,libero_spatial,2,3,demo_3,102,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
54,1,libero_spatial,2,4,demo_4,111,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
55,1,libero_spatial,2,5,demo_5,111,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
56,1,libero_spatial,2,6,demo_6,109,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
57,1,libero_spatial,2,7,demo_7,123,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
58,1,libero_spatial,2,8,demo_8,111,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
59,1,libero_spatial,2,9,demo_9,110,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
60,1,libero_spatial,2,10,demo_10,109,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
61,1,libero_spatial,2,11,demo_11,101,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
62,1,libero_spatial,2,12,demo_12,124,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
63,1,libero_spatial,2,13,demo_13,122,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
64,1,libero_spatial,2,14,demo_14,114,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
65,1,libero_spatial,2,15,demo_15,136,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
66,1,libero_spatial,2,16,demo_16,105,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
67,1,libero_spatial,2,17,demo_17,164,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
68,1,libero_spatial,2,18,demo_18,107,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
69,1,libero_spatial,2,19,demo_19,98,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
70,1,libero_spatial,2,20,demo_20,117,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
71,1,libero_spatial,2,21,demo_21,108,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
72,1,libero_spatial,2,22,demo_22,117,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
73,1,libero_spatial,2,23,demo_23,117,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
74,1,libero_spatial,2,24,demo_24,106,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
75,1,libero_spatial,2,25,demo_25,117,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
76,1,libero_spatial,2,26,demo_26,143,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
77,1,libero_spatial,2,27,demo_27,125,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
78,1,libero_spatial,2,28,demo_28,111,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
79,1,libero_spatial,2,29,demo_29,110,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
80,1,libero_spatial,2,30,demo_30,115,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
81,1,libero_spatial,2,31,demo_31,122,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
82,1,libero_spatial,2,32,demo_32,119,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
83,1,libero_spatial,2,33,demo_33,121,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
84,1,libero_spatial,2,34,demo_34,131,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
85,1,libero_spatial,2,35,demo_35,140,pick up the black bowl from table center and place it on the plate,datasets/libero/datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,data/splits/libero_spatial_loco_task3_train.csv,Al111vin/libero_spatial_loco_task3_train,20
