suite,libero_task_id,name,language,bddl_file,object,skill,spatial_relation,is_runnable_candidate,factor_focus,source_relation,target_object,final_selected
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,between,True,spatial,between_plate_and_ramekin,plate,True
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,pick up the black bowl next to the ramekin and place it on the plate,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,next_to,True,spatial,next_to_ramekin,plate,True
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,pick up the black bowl from table center and place it on the plate,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,table_center,True,spatial,table_center,plate,True
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl on the cookie box and place it on the plate,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,on_plate,True,spatial,on_cookie_box,plate,True
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,top_drawer,True,spatial,in_top_drawer,plate,True
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pick up the black bowl on the ramekin and place it on the plate,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,on_plate,True,spatial,on_ramekin,plate,True
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl next to the cookie box and place it on the plate,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,next_to,True,spatial,next_to_cookie_box,plate,True
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,pick up the black bowl on the stove and place it on the plate,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,on_stove,True,spatial,on_stove,plate,True
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,pick up the black bowl next to the plate and place it on the plate,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,next_to,True,spatial,next_to_plate,plate,True
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl on the wooden cabinet and place it on the plate,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.bddl,black_bowl,pick_and_place,on_or_in_cabinet,True,spatial,on_wooden_cabinet,plate,True
